Occupation,Current_Wage,Wage_Growth_YoY,Stability_Score,Trend_Consistency,Relative_Position,Recent_Change,Data_Points,Start_Date,End_Date,Current_Wage_Normalized,Wage_Growth_YoY_Normalized,Stability_Score_Normalized,Trend_Consistency_Normalized,Relative_Position_Normalized,Recent_Change_Normalized,Composite_Score
Health occupations [3],35.9,10.461538461538456,,0,,24.65277777777777,224,2015-01-01,2023-07-01,1.0,1.0,,0.5,,1.0,0.8928571428571429
Natural and applied sciences and related occupations [2],35.6,-4.812834224598923,,0,,-4.429530201342278,224,2015-01-01,2023-07-01,0.9836512261580383,0.36228979329395083,,0.5,,0.20616811076507088,0.5914108232497242
Management occupations [0],35.85,-10.931677018633538,,0,,-5.033112582781453,224,2015-01-01,2023-07-01,0.9972752043596732,0.10682604475473714,,0.5,,0.18969270095540983,0.520933257337724
"Natural resources, agriculture and related production occupations [8]",26.8,2.290076335877868,,0,,-0.55658627087198,224,2015-01-01,2023-07-01,0.5040871934604905,0.6588387026869487,,0.5,,0.3118841495139052,0.5199685055055755
"Trades, transport and equipment operators and related occupations [7]",28.6,-1.2089810017271083,,0,,-5.610561056105609,224,2015-01-01,2023-07-01,0.6021798365122617,0.5127518797521164,,0.5,,0.1739306433895574,0.493554856310635
"Occupations in education, law and social, community and government services [4]",24.75,-6.954887218045118,,0,,1.851851851851849,224,2015-01-01,2023-07-01,0.3923705722070845,0.27285835900233907,,0.5,,0.3776249767701171,0.3791811607560724
Occupations in manufacturing and utilities [9],22.15,-6.144067796610181,,0,,3.0232558139534818,224,2015-01-01,2023-07-01,0.25068119891008167,0.30671034307195855,,0.5,,0.409599668082789,0.34281762164313
"Business, finance and administration occupations [1]",24.8,-8.317929759704251,,0,,-8.655616942909754,224,2015-01-01,2023-07-01,0.3950953678474115,0.2159508735787661,,0.5,,0.09081267114391664,0.3229218339885683
Sales and service occupations [6],17.55,-0.2840909090909131,,0,,1.4450867052023122,224,2015-01-01,2023-07-01,0.0,0.5513663527831891,,0.5,,0.36652189839437205,0.31703637199439294
"Occupations in art, culture, recreation and sport [5]",20.2,-13.49036402569594,,0,,-11.982570806100219,224,2015-01-01,2023-07-01,0.14441416893732964,0.0,,0.5,,0.0,0.1587193460490463
