"REF_DATE","GEO","DGUID","National Occupational Classification","Job vacancy characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2015-01","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","20.00","E","","","2"
"2015-04","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","19.65","A","","","2"
"2015-07","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","19.10","A","","","2"
"2015-10","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","19.05","A","","","2"
"2016-01","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","20.00","A","","","2"
"2016-04","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","19.65","A","","","2"
"2016-07","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","20.30","A","","","2"
"2016-10","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","20.25","A","","","2"
"2017-01","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","21.60","A","","","2"
"2017-04","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","20.85","A","","","2"
"2017-07","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","21.40","A","","","2"
"2017-10","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","22.00","A","","","2"
"2018-01","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","22.95","A","","","2"
"2018-04","Alberta","2016A000248","Total, all occupations","Duration of job vacancy, all durations","Average offered hourly wage","Dollars","81","units","0","v105318435","10.1.23.5","22.30","A","","","2"
