REF_DATE,GEO,DGUID,National Occupational Classification,Job vacancy characteristics,Statistics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS,YoY_change
2015-01-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,20.0,E,,,2,
2015-04-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,19.65,A,,,2,
2015-07-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,19.1,A,,,2,
2015-10-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,19.05,A,,,2,
2016-01-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,20.0,A,,,2,0.0
2016-04-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,19.65,A,,,2,0.0
2016-07-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,20.3,A,,,2,6.282722513089012
2016-10-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,20.25,A,,,2,6.299212598425186
2017-01-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,21.6,A,,,2,8.000000000000007
2017-04-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,20.85,A,,,2,6.106870229007644
2017-07-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,21.4,A,,,2,5.418719211822642
2017-10-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,22.0,A,,,2,8.64197530864197
2018-01-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,22.95,A,,,2,6.25
2018-04-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,22.3,A,,,2,6.95443645083933
2018-07-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,22.75,A,,,2,6.308411214953269
2018-10-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,23.25,A,,,2,5.681818181818188
2019-01-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,24.3,A,,,2,5.882352941176472
2019-04-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,23.5,A,,,2,5.3811659192825045
2019-07-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,23.3,A,,,2,2.417582417582431
2019-10-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,23.95,A,,,2,3.010752688172036
2020-01-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,24.75,A,,,2,1.8518518518518379
2020-10-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,23.0,A,,,2,-2.127659574468088
2021-01-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,24.05,A,,,2,3.2188841201716833
2021-04-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,23.1,A,,,2,-3.5490605427974886
2021-07-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,23.5,A,,,2,-5.05050505050505
2021-10-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,24.05,A,,,2,4.565217391304355
2022-01-01,Alberta,2016A000248,"Total, all occupations","Duration of job vacancy, all durations",Average offered hourly wage,Dollars,81,units,0,v105318435,10.1.23.5,25.0,A,,,2,3.950103950103956
