REF_DATE,"Business, finance and administration occupations [1]",Health occupations [3],Management occupations [0],Natural and applied sciences and related occupations [2],"Natural resources, agriculture and related production occupations [8]","Occupations in art, culture, recreation and sport [5]","Occupations in education, law and social, community and government services [4]",Occupations in manufacturing and utilities [9],Sales and service occupations [6],"Total, all occupations","Trades, transport and equipment operators and related occupations [7]",Unclassified occupations
2015-01-01,24.0,25.35,33.8,32.95,18.75,,22.85,17.9,13.35,20.0,25.1,
2015-04-01,23.0,27.666666666666668,33.975,34.025,17.708333333333332,18.408333333333335,22.941666666666666,21.258333333333333,14.058333333333332,20.858333333333334,23.758333333333336,23.675
2015-07-01,24.616666666666664,26.47,34.324999999999996,35.375,19.575,20.233333333333334,23.633333333333336,20.175,13.641666666666666,20.583333333333332,25.583333333333332,18.141666666666666
2015-10-01,24.21666666666667,27.241666666666664,34.69166666666666,34.25,19.141666666666666,21.95,24.59166666666667,23.7,14.049999999999999,21.175,25.525000000000002,21.858333333333334
2016-01-01,24.724999999999998,30.208333333333332,33.78333333333333,31.683333333333334,18.5,23.291666666666668,26.0,23.599999999999998,14.133333333333333,21.491666666666664,24.491666666666664,24.100000000000005
2016-04-01,24.858333333333334,25.43,33.49166666666667,34.325,18.808333333333334,16.41,26.21666666666667,21.233333333333334,14.033333333333333,20.933333333333334,25.758333333333336,22.349999999999998
2016-07-01,25.016666666666666,27.400000000000002,35.15,34.18333333333333,21.266666666666666,22.15833333333333,26.608333333333334,23.075,14.358333333333334,21.575,23.741666666666664,
2016-10-01,23.425,29.116666666666664,35.65833333333334,33.016666666666666,22.558333333333334,21.808333333333334,26.950000000000003,22.991666666666664,14.725,21.46666666666667,25.758333333333336,
2017-01-01,24.541666666666668,31.339999999999996,37.725,33.6,22.150000000000002,21.291666666666668,27.75,23.400000000000002,15.275,22.708333333333332,24.541666666666668,17.95
2017-04-01,24.78333333333333,29.529999999999994,33.18333333333333,30.400000000000002,17.816666666666666,18.041666666666668,26.98333333333333,21.125,15.125,22.15833333333333,26.325,
2017-07-01,24.95,28.580000000000002,39.25833333333333,34.96666666666667,22.641666666666666,18.466666666666665,24.141666666666666,21.133333333333333,15.108333333333334,23.400000000000002,26.016666666666666,
2017-10-01,23.349999999999998,25.75,39.44166666666666,34.275,21.666666666666668,20.041666666666668,24.825,22.791666666666668,16.425,23.516666666666666,26.375,
2018-01-01,23.75,28.741666666666664,37.541666666666664,34.266666666666666,20.258333333333336,,25.866666666666664,24.933333333333334,16.8,24.34166666666667,25.933333333333334,
2018-04-01,25.0,31.183333333333337,36.36666666666667,31.758333333333336,18.633333333333333,17.983333333333334,25.075,26.083333333333332,16.083333333333332,23.108333333333334,25.616666666666664,
2018-07-01,24.8,27.741666666666664,38.74166666666667,35.675000000000004,21.925,22.40833333333333,23.599999999999998,25.416666666666668,16.525,23.900000000000002,25.983333333333334,
2018-10-01,25.958333333333332,29.766666666666666,39.666666666666664,32.708333333333336,23.0,22.0,24.791666666666668,22.258333333333336,16.816666666666666,24.3,26.78333333333333,
2019-01-01,26.275000000000002,31.258333333333336,42.425000000000004,35.05833333333333,22.208333333333332,21.641666666666666,26.00833333333333,22.558333333333334,17.125,25.375,25.933333333333334,
2019-04-01,25.75,28.78333333333333,40.63333333333333,35.541666666666664,21.183333333333334,20.583333333333332,26.616666666666664,23.2,17.058333333333334,24.7,26.675,22.65
2019-07-01,27.349999999999998,32.4,40.78333333333333,36.15,21.3,22.358333333333334,25.391666666666666,25.875,16.816666666666666,24.78333333333333,24.691666666666666,20.475
2019-10-01,27.116666666666664,28.900000000000002,38.43333333333333,35.916666666666664,22.933333333333334,22.191666666666666,27.433333333333334,26.975000000000005,17.141666666666666,25.191666666666666,25.883333333333336,
2020-01-01,26.3125,30.85625,40.893750000000004,36.78125,22.3625,22.55625,27.5625,25.1625,16.725,25.075,27.86875,
2020-10-01,24.16875,28.6875,45.34375,39.29375,21.84375,25.13125,24.15,20.425,16.675,24.53125,25.85,
2021-01-01,24.1875,30.18125,40.1625,31.69375,23.5,26.475,24.975,21.45625,17.36875,24.19375,26.575,28.71666666666667
2021-04-01,24.24375,30.15625,,34.8875,23.05,24.443749999999998,26.61875,20.3375,18.1625,24.1875,26.24375,
2021-07-01,26.09375,31.575,38.05625,37.54375,24.993750000000002,22.93125,24.13125,20.75625,16.8125,23.368750000000002,27.375,
2021-10-01,25.56875,31.95,39.893750000000004,36.26875,25.24375,23.90625,23.41875,21.88125,17.04375,23.88125,27.4,23.092857142857145
2022-01-01,26.1125,33.29375,,37.21875,24.46875,26.125,23.4625,22.7375,17.59375,25.48125,28.51875,
2022-04-01,26.125,35.0375,37.3625,36.15625,25.35,21.36875,23.11875,21.76875,17.25625,24.31875,27.6875,
2022-07-01,25.74375,33.3,40.575,36.4,26.65625,22.6875,25.806250000000002,23.85,17.45625,24.9875,28.28125,
2022-10-01,27.125,33.3375,37.3,39.41875,26.75,24.00625,24.0625,23.775,17.3,25.35625,28.75625,
2023-01-01,27.38125,33.64375,,36.6375,27.8125,22.45,27.3,24.49375,17.65,25.8375,29.25,
2023-04-01,27.74375,35.43125,,37.24375,24.33125,24.45625,26.075,23.625,17.5,25.21875,28.76875,
2023-07-01,27.55,31.8125,40.075,37.38125,26.7625,23.5125,27.23125,24.85,17.63125,25.45625,29.3,
